measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Bulgaria,Both,All Ages,Years,2005,72.6,72.6,72.5
Life expectancy,Croatia,Both,All Ages,Years,2005,75.7,75.7,75.6
Life expectancy,Czech Republic,Both,All Ages,Years,2005,76.2,76.3,76.1
Life expectancy,Bulgaria,Both,All Ages,Years,1995,71,71,70.9
Life expectancy,Croatia,Both,All Ages,Years,1995,73,73.4,72.5
Life expectancy,Czech Republic,Both,All Ages,Years,1995,73.4,73.5,73.4
Life expectancy,Hungary,Both,All Ages,Years,1995,70.1,70.1,70
Life expectancy,Poland,Both,All Ages,Years,1995,71.9,72,71.9
Life expectancy,Romania,Both,All Ages,Years,1995,69.4,69.5,69.3
Life expectancy,Slovakia,Both,All Ages,Years,1995,72.4,72.5,72.3
Life expectancy,Slovenia,Both,All Ages,Years,1995,74.6,74.7,74.5
Life expectancy,Estonia,Both,All Ages,Years,1995,67.7,67.8,67.5
Life expectancy,Latvia,Both,All Ages,Years,1995,66.5,66.7,66.4
Life expectancy,Lithuania,Both,All Ages,Years,1995,69,69.1,68.9
Life expectancy,Austria,Both,All Ages,Years,1995,76.8,76.9,76.8
Life expectancy,Belgium,Both,All Ages,Years,1995,76.9,76.9,76.8
Life expectancy,Cyprus,Both,All Ages,Years,1995,76.7,76.8,76.5
Life expectancy,Denmark,Both,All Ages,Years,1995,75.6,75.6,75.5
Life expectancy,Finland,Both,All Ages,Years,1995,76.7,76.8,76.6
Life expectancy,France,Both,All Ages,Years,1995,78.2,78.2,78.1
Life expectancy,Germany,Both,All Ages,Years,1995,76.6,76.7,76.6
Life expectancy,Greece,Both,All Ages,Years,1995,77.8,77.9,77.7
Life expectancy,Ireland,Both,All Ages,Years,1995,77.1,77.4,76.9
Life expectancy,Italy,Both,All Ages,Years,1995,78.1,78.1,78
Life expectancy,Luxembourg,Both,All Ages,Years,1995,76.9,77,76.7
Life expectancy,Malta,Both,All Ages,Years,1995,78.4,78.7,78
Life expectancy,Netherlands,Both,All Ages,Years,1995,77.6,77.7,77.5
Life expectancy,Portugal,Both,All Ages,Years,1995,75.5,75.5,75.4
Life expectancy,Spain,Both,All Ages,Years,1995,77.9,77.9,77.9
Life expectancy,Sweden,Both,All Ages,Years,1995,78.9,79,78.8
Life expectancy,United Kingdom,Both,All Ages,Years,1995,76.7,76.7,76.7
Life expectancy,Hungary,Both,All Ages,Years,2005,73.1,73.1,73
Life expectancy,Poland,Both,All Ages,Years,2005,75.1,75.1,75
Life expectancy,Romania,Both,All Ages,Years,2005,72.4,72.5,72.3
Life expectancy,Slovakia,Both,All Ages,Years,2005,74.3,74.3,74.2
Life expectancy,Slovenia,Both,All Ages,Years,2005,77.6,77.7,77.5
Life expectancy,Estonia,Both,All Ages,Years,2005,72.5,72.7,72.4
Life expectancy,Latvia,Both,All Ages,Years,2005,71.1,71.2,71
Life expectancy,Lithuania,Both,All Ages,Years,2005,71.7,71.7,71.6
Life expectancy,Austria,Both,All Ages,Years,2005,79.5,79.6,79.5
Life expectancy,Belgium,Both,All Ages,Years,2005,79.1,79.2,79.1
Life expectancy,Cyprus,Both,All Ages,Years,2005,79,79.1,78.8
Life expectancy,Denmark,Both,All Ages,Years,2005,78.3,78.4,78.2
Life expectancy,Finland,Both,All Ages,Years,2005,79,79.1,79
Life expectancy,France,Both,All Ages,Years,2005,80.4,80.4,80.4
Life expectancy,Germany,Both,All Ages,Years,2005,79.4,79.4,79.4
Life expectancy,Greece,Both,All Ages,Years,2005,79.6,79.6,79.5
Life expectancy,Ireland,Both,All Ages,Years,2005,79.7,80,79.6
Life expectancy,Italy,Both,All Ages,Years,2005,81.1,81.1,81.1
Life expectancy,Luxembourg,Both,All Ages,Years,2005,80,80.1,79.8
Life expectancy,Malta,Both,All Ages,Years,2005,80.7,80.9,80.4
Life expectancy,Netherlands,Both,All Ages,Years,2005,79.6,79.6,79.5
Life expectancy,Portugal,Both,All Ages,Years,2005,78.4,78.5,78.4
Life expectancy,Spain,Both,All Ages,Years,2005,80.3,80.3,80.2
Life expectancy,Sweden,Both,All Ages,Years,2005,80.6,80.6,80.5
Life expectancy,United Kingdom,Both,All Ages,Years,2005,79,79,79
