measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),Bulgaria,Male,All Ages,Years,1995,59.777425,61.755455,57.527018
HALE (Healthy life expectancy),Bulgaria,Female,All Ages,Years,1995,65.848876,68.171452,63.190744
HALE (Healthy life expectancy),Bulgaria,Male,All Ages,Years,2015,63.338072,65.430626,60.912006
HALE (Healthy life expectancy),Bulgaria,Female,All Ages,Years,2015,68.88132,71.339603,66.089233
HALE (Healthy life expectancy),Bulgaria,Both,All Ages,Years,2015,66.065926,68.331211,63.475653
HALE (Healthy life expectancy),Croatia,Male,All Ages,Years,2015,65.865754,68.11866,63.300303
HALE (Healthy life expectancy),Croatia,Female,All Ages,Years,2015,70.744898,73.387402,67.692467
HALE (Healthy life expectancy),Croatia,Both,All Ages,Years,2015,68.352472,70.76099,65.540062
HALE (Healthy life expectancy),Czech Republic,Male,All Ages,Years,2015,66.942953,69.270481,64.351265
HALE (Healthy life expectancy),Czech Republic,Female,All Ages,Years,2015,71.406617,74.064671,68.366245
HALE (Healthy life expectancy),Czech Republic,Both,All Ages,Years,2015,69.20932,71.717777,66.379848
HALE (Healthy life expectancy),Hungary,Male,All Ages,Years,2015,64.706818,66.938904,62.240889
HALE (Healthy life expectancy),Hungary,Female,All Ages,Years,2015,69.756132,72.31942,66.772518
HALE (Healthy life expectancy),Hungary,Both,All Ages,Years,2015,67.358924,69.719154,64.638073
HALE (Healthy life expectancy),Poland,Male,All Ages,Years,2015,64.964439,67.145828,62.441799
HALE (Healthy life expectancy),Poland,Female,All Ages,Years,2015,71.526919,74.106361,68.563606
HALE (Healthy life expectancy),Poland,Both,All Ages,Years,2015,68.292508,70.66151,65.550228
HALE (Healthy life expectancy),Romania,Male,All Ages,Years,2015,63.398002,65.538528,60.983261
HALE (Healthy life expectancy),Romania,Female,All Ages,Years,2015,69.44151,71.901295,66.682121
HALE (Healthy life expectancy),Romania,Both,All Ages,Years,2015,66.38233,68.642906,63.773722
HALE (Healthy life expectancy),Slovakia,Male,All Ages,Years,2015,65.211797,67.466843,62.654917
HALE (Healthy life expectancy),Slovakia,Female,All Ages,Years,2015,70.917308,73.518528,68.009262
HALE (Healthy life expectancy),Slovakia,Both,All Ages,Years,2015,68.166827,70.578808,65.40733
HALE (Healthy life expectancy),Slovenia,Male,All Ages,Years,2015,68.664186,71.087414,65.913918
