measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Bulgaria,Male,All Ages,Years,2015,71.4,71.9,70.8
Life expectancy,Bulgaria,Female,All Ages,Years,2015,78.4,78.8,77.9
Life expectancy,Bulgaria,Both,All Ages,Years,2015,74.8,75.2,74.4
Life expectancy,Croatia,Male,All Ages,Years,2015,74.6,75.0,74.3
Life expectancy,Croatia,Female,All Ages,Years,2015,80.9,81.3,80.6
Life expectancy,Croatia,Both,All Ages,Years,2015,77.8,78.1,77.6
Life expectancy,Czech Republic,Male,All Ages,Years,2015,75.9,76.1,75.7
Life expectancy,Czech Republic,Female,All Ages,Years,2015,81.7,81.8,81.5
Life expectancy,Czech Republic,Both,All Ages,Years,2015,78.8,79.0,78.7
Life expectancy,Hungary,Male,All Ages,Years,2015,73.2,73.7,72.8
Life expectancy,Hungary,Female,All Ages,Years,2015,79.9,80.3,79.6
Life expectancy,Hungary,Both,All Ages,Years,2015,76.7,77.1,76.4
Life expectancy,Poland,Male,All Ages,Years,2015,73.4,73.7,73.2
Life expectancy,Poland,Female,All Ages,Years,2015,81.6,81.8,81.4
Life expectancy,Poland,Both,All Ages,Years,2015,77.6,77.8,77.4
Life expectancy,Romania,Male,All Ages,Years,2015,71.5,72.0,71.0
Life expectancy,Romania,Female,All Ages,Years,2015,79.0,79.4,78.6
Life expectancy,Romania,Both,All Ages,Years,2015,75.2,75.5,74.9
Life expectancy,Slovakia,Male,All Ages,Years,2015,74.0,74.2,73.7
Life expectancy,Slovakia,Female,All Ages,Years,2015,80.9,81.1,80.7
Life expectancy,Slovakia,Both,All Ages,Years,2015,77.6,77.7,77.4
Life expectancy,Slovenia,Male,All Ages,Years,2015,77.9,78.2,77.7
Life expectancy,Slovenia,Female,All Ages,Years,2015,83.8,84.0,83.6
Life expectancy,Slovenia,Both,All Ages,Years,2015,80.9,81.1,80.8
Life expectancy,Estonia,Male,All Ages,Years,2015,73.4,73.8,73.1
Life expectancy,Estonia,Female,All Ages,Years,2015,81.4,81.9,81.0
Life expectancy,Estonia,Both,All Ages,Years,2015,77.8,78.1,77.5
Life expectancy,Latvia,Male,All Ages,Years,2015,70.6,71.0,70.2
Life expectancy,Latvia,Female,All Ages,Years,2015,79.7,80.1,79.3
Life expectancy,Latvia,Both,All Ages,Years,2015,75.4,75.7,75.1
Life expectancy,Lithuania,Male,All Ages,Years,2015,69.7,70.0,69.5
Life expectancy,Lithuania,Female,All Ages,Years,2015,80.4,80.6,80.2
Life expectancy,Lithuania,Both,All Ages,Years,2015,75.2,75.4,75.0
Life expectancy,Austria,Male,All Ages,Years,2015,78.8,78.9,78.7
Life expectancy,Austria,Female,All Ages,Years,2015,83.7,83.8,83.5
Life expectancy,Austria,Both,All Ages,Years,2015,81.3,81.4,81.2
